symbol_a,symbol_b,correlation,sector,industry_a,industry_b,same_industry,mktcap_a_bn,mktcap_b_bn,mktcap_ratio,common_days
EFSC,FNB,0.8198,Financial Services,Banks - Regional,Banks - Regional,True,2.11,6.14,2.92,749
BBT,NBHC,0.8197,Financial Services,Asset Management,Banks - Regional,False,2.31,1.45,1.59,749
BY,CATY,0.8197,Financial Services,Banks - Regional,Banks - Regional,True,1.31,3.28,2.51,749
AOD,GDV,0.8197,Financial Services,Asset Management,Asset Management - Income,False,1.01,2.16,2.13,749
ABCB,EWBC,0.8197,Financial Services,Banks - Regional,Banks - Diversified,False,5.08,15.54,3.06,749
GBCI,PPBI,0.8197,Financial Services,Banks - Regional,Banks - Regional,True,5.72,2.36,2.43,645
AKR,BRX,0.8197,Real Estate,REIT - Retail,REIT - Retail,True,2.61,8.44,3.23,749
BUSE,FBNC,0.8196,Financial Services,Banks - Regional,Banks - Regional,True,2.12,2.1,1.01,749
ASB,EFSC,0.8196,Financial Services,Banks - Regional,Banks - Regional,True,4.25,2.11,2.02,749
BKU,UMBF,0.8195,Financial Services,Banks - Regional,Banks - Regional,True,3.39,8.73,2.57,749
FRME,WTFC,0.8195,Financial Services,Banks - Regional,Banks - Regional,True,2.16,9.36,4.33,749
OCFC,SASR,0.8195,Financial Services,Banks - Regional,Banks - Regional,True,1.03,1.52,1.47,538
AMFCX,DHLYX,0.8195,Financial Services,Asset Management,Asset Management,True,5.11,7.66,1.5,749
BOE,ETW,0.8195,Financial Services,Asset Management - Global,Asset Management - Global,True,1.95,1.22,1.6,749
HFWA,TRST,0.8195,Financial Services,Banks - Regional,Banks - Regional,True,1.08,1.02,1.05,749
TCBI,WSFS,0.8195,Financial Services,Banks - Regional,Banks - Regional,True,4.08,3.0,1.36,749
PB,UBSI,0.8195,Financial Services,Banks - Regional,Banks - Regional,True,6.53,5.39,1.21,749
FBK,SASR,0.8195,Financial Services,Banks - Regional,Banks - Regional,True,2.97,1.52,1.96,538
CSQ,EOS,0.8195,Financial Services,Asset Management,Asset Management - Income,False,3.1,1.25,2.47,749
ONB,PFS,0.8194,Financial Services,Banks - Regional,Banks - Regional,True,8.65,2.58,3.36,749
FCF,SBSI,0.8194,Financial Services,Banks - Regional,Banks - Regional,True,1.73,1.16,1.5,749
SFNC,WAFD,0.8194,Financial Services,Banks - Regional,Banks - Regional,True,2.7,2.43,1.11,749
AUB,INDB,0.8194,Financial Services,Banks - Regional,Banks - Regional,True,5.0,3.61,1.38,749
CATY,OSBC,0.8194,Financial Services,Banks - Regional,Banks - Regional,True,3.28,1.03,3.19,749
CUZ,KRC,0.8194,Real Estate,REIT - Office,REIT - Office,True,4.7,4.76,1.01,749
AR,EQT,0.8193,Energy,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,True,10.85,23.5,2.17,749
SRCE,UBSI,0.8193,Financial Services,Banks - Regional,Banks - Regional,True,1.52,5.39,3.54,749
ETY,EXG,0.8193,Financial Services,Asset Management - Income,Asset Management - Income,True,2.51,2.83,1.13,749
CNOB,FCF,0.8193,Financial Services,Banks - Regional,Banks - Regional,True,1.32,1.73,1.31,749
SBSI,TCBK,0.8193,Financial Services,Banks - Regional,Banks - Regional,True,1.16,1.54,1.33,749
HOMB,PFS,0.8193,Financial Services,Banks - Regional,Banks - Regional,True,5.47,2.58,2.12,749
FBP,ONB,0.8193,Financial Services,Banks - Regional,Banks - Regional,True,3.32,8.65,2.61,749
APA,DVN,0.8192,Energy,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,True,8.15,20.39,2.5,749
RF,ZION,0.8192,Financial Services,Banks - Regional,Banks - Regional,True,23.71,8.61,2.75,749
FFBC,NBTB,0.8192,Financial Services,Banks - Regional,Banks - Regional,True,2.37,2.25,1.05,749
CBU,WSFS,0.8192,Financial Services,Banks - Regional,Banks - Regional,True,3.22,3.0,1.07,749
GBCI,UCBI,0.8192,Financial Services,Banks - Regional,Banks - Regional,True,5.72,3.66,1.57,395
EVR,MC,0.8192,Financial Services,Financial - Capital Markets,Financial - Capital Markets,True,10.63,5.31,2.0,749
FULT,HOPE,0.8191,Financial Services,Banks - Regional,Banks - Regional,True,3.54,1.41,2.51,749
FFIN,FHB,0.8191,Financial Services,Banks - Regional,Banks - Regional,True,4.27,3.31,1.29,749
IBOC,WSBC,0.8191,Financial Services,Banks - Regional,Banks - Regional,True,3.93,2.98,1.32,749
ASB,CBSH,0.8191,Financial Services,Banks - Regional,Banks - Regional,True,4.25,7.27,1.71,749
AUB,HWC,0.819,Financial Services,Banks - Regional,Banks - Regional,True,5.0,5.3,1.06,749
