symbol_a,symbol_b,correlation,sector,industry_a,industry_b,same_industry,mktcap_a_bn,mktcap_b_bn,mktcap_ratio,common_days
MTUS,TMST,1.0,Basic Materials,Steel,Steel,True,1.03,1.03,1.0,285
BODI,BODY,1.0,Communication Services,Internet Content & Information,Internet Content & Information,True,3.19,8.09,2.54,287
KIND,NXDR,1.0,Communication Services,Internet Content & Information,Internet Content & Information,True,1.15,1.15,1.0,698
PRKS,SEAS,1.0,Consumer Cyclical,Leisure,Leisure,True,3.35,3.07,1.09,275
BBBY,BYON,1.0,Consumer Cyclical,Specialty Retail,Specialty Retail,True,1.21,1.25,1.03,666
RDNW,RMBL,1.0,Consumer Cyclical,Auto - Dealerships,Auto - Dealerships,True,1.11,1.11,1.0,698
LANC,MZTI,1.0,Consumer Defensive,Packaged Foods,Packaged Foods,True,4.75,4.75,1.0,619
CHK,EXE,1.0,Energy,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,True,13.46,15.63,1.16,435
AAMI,BSIG,1.0,Financial Services,Asset Management,Asset Management,True,1.98,1.98,1.0,495
FLG,NYCB,1.0,Financial Services,Banks - Regional,Banks - Regional,True,5.23,4.29,1.22,453
BGNE,ONC,1.0,Healthcare,Biotechnology,Medical - Pharmaceuticals,False,19.35,19.45,1.0,479
IVF,NAYA,1.0,Healthcare,Medical - Devices,Medical - Devices,True,1.15,1.7,1.47,575
IKNA,IMA,1.0,Healthcare,Biotechnology,Biotechnology,True,1.16,1.16,1.0,618
BHG,NEUE,1.0,Healthcare,Medical - Healthcare Plans,Medical - Equipment & Services,False,1.35,2.16,1.6,260
AMEH,ASTH,1.0,Healthcare,Medical - Care Facilities,Medical - Care Facilities,True,1.89,1.5,1.25,283
HIND,RSLS,1.0,Healthcare,Biotechnology,Medical - Devices,False,1.0,1.0,1.0,632
CBIO,GLYC,1.0,Healthcare,Biotechnology,Biotechnology,True,1.61,1.61,1.0,602
JBT,JBTM,1.0,Industrials,Industrial - Machinery,Industrial - Machinery,True,4.07,4.07,1.0,496
CSW,CSWI,1.0,Industrials,Industrial - Machinery,Industrial - Machinery,True,4.73,4.73,1.0,586
FREY,TE,1.0,Industrials,Electrical Equipment & Parts,Electrical Equipment & Parts,True,1.03,1.03,1.0,537
CPAY,FLT,1.0,Technology,Software - Infrastructure,Software - Infrastructure,True,23.8,21.01,1.13,299
SQ,XYZ,1.0,Technology,Software - Infrastructure,Software - Infrastructure,True,52.44,52.44,1.0,527
CCC,CCCS,1.0,Technology,Software - Infrastructure,Software - Infrastructure,True,7.16,7.16,1.0,705
FI,FISV,1.0,Technology,Information Technology Services,Information Technology Services,True,118.88,118.88,1.0,708
BIGC,CMRC,1.0,Technology,Software - Application,Software - Application,True,2.51,2.51,1.0,640
GTM,ZI,1.0,Technology,Software - Application,Software - Application,True,3.8,3.8,1.0,586
GAP,GPS,0.9999,Consumer Cyclical,Apparel - Retail,Apparel - Retail,True,9.05,7.58,1.19,406
UCB,UCBI,0.9999,Financial Services,Banks - Regional,Banks - Regional,True,3.8,3.66,1.04,395
DOC,PEAK,0.9999,Real Estate,REIT - Healthcare Facilities,REIT - Healthcare Facilities,True,11.19,12.67,1.13,287
PRMB,PRMW,0.9997,Consumer Defensive,Beverages - Non-Alcoholic,Beverages - Non-Alcoholic,True,7.46,2.4,3.11,450
HMST,MCHB,0.9997,Financial Services,Banks - Regional,Banks - Regional,True,1.09,1.09,1.0,644
CEIX,CNR,0.9991,Energy,Coal,Coal,True,3.17,3.17,1.0,527
BBT,BHLB,0.9988,Financial Services,Asset Management,Banks - Regional,False,2.31,2.32,1.0,646
PNM,TXNM,0.9988,Utilities,Regulated Electric,Regulated Electric,True,3.69,4.46,1.21,391
HTO,SJW,0.9987,Utilities,Regulated Water,Regulated Water,True,1.65,1.61,1.03,581
GOOG,GOOGL,0.9978,Technology,Internet Content & Information,Internet Content & Information,True,2331.99,2331.99,1.0,749
CDAY,DAY,0.9977,Technology,Software - Application,Software - Application,True,11.21,11.46,1.02,265
ADAM,NYMT,0.9974,Real Estate,REIT - Mortgage,REIT - Mortgage,True,1.41,1.41,1.0,663
HDGCX,IHGIX,0.9968,Financial Services,Asset Management,Asset Management,True,16.15,17.25,1.07,749
IMAB,NBP,0.9959,Healthcare,Biotechnology,Biotechnology,True,1.12,1.12,1.0,712
Z,ZG,0.9952,Communication Services,Internet Content & Information,Internet Content & Information,True,17.33,16.58,1.05,749
JTSSX,SMTAX,0.9927,Financial Services,Asset Management,Asset Management,True,2.45,3.52,1.44,749
MODV,OTRK,0.9902,Healthcare,Medical - Care Facilities,Medical - Healthcare Information Services,False,1.26,1.76,1.39,672
CCL,CUK,0.9891,Consumer Cyclical,Leisure,Leisure,True,34.02,34.02,1.0,749
FNILX,INFO,0.9875,Financial Services,Asset Management,Asset Management,True,10.99,8.08,1.36,318
FOX,FOXA,0.9858,Communication Services,Entertainment,Entertainment,True,23.8,25.83,1.09,749
JOBBX,JTSSX,0.9847,Financial Services,Asset Management,Asset Management,True,8.67,2.45,3.54,749
JOBBX,SMTAX,0.983,Financial Services,Asset Management,Asset Management,True,8.67,3.52,2.46,749
DFLI,MNTS,0.9822,Industrials,Electrical Equipment & Parts,Aerospace & Defense,False,4.59,4.68,1.02,749
UA,UAA,0.982,Consumer Cyclical,Apparel - Manufacturers,Apparel - Manufacturers,True,2.57,2.7,1.05,749
AD,USM,0.9706,Communication Services,Telecommunications Services,Telecommunications Services,True,5.39,5.39,1.0,648
PRTAX,PRVAX,0.9693,Financial Services,Asset Management - Income,Asset Management - Bonds,False,2.11,1.25,1.69,749
FWONA,FWONK,0.9681,Communication Services,Entertainment,Entertainment,True,20.17,21.38,1.06,749
PRVAX,VNJTX,0.968,Financial Services,Asset Management - Bonds,Asset Management,False,1.25,2.7,2.16,749
NWS,NWSA,0.966,Communication Services,Entertainment,Entertainment,True,19.48,16.87,1.15,749
PRTAX,VNJTX,0.9652,Financial Services,Asset Management - Income,Asset Management,False,2.11,2.7,1.28,749
FNILX,JMUEX,0.9637,Financial Services,Asset Management,Asset Management,True,10.99,26.14,2.38,749
FCTFX,PRVAX,0.9628,Financial Services,Asset Management - Income,Asset Management - Bonds,False,1.72,1.25,1.38,749
PAA,PAGP,0.961,Energy,Oil & Gas Midstream,Oil & Gas Midstream,True,11.99,3.62,3.31,749
FLCSX,INFO,0.9609,Financial Services,Asset Management,Asset Management,True,4.29,8.08,1.88,318
LBAI,PFS,0.9602,Financial Services,Banks - Regional,Banks - Regional,True,1.14,2.58,2.27,334
FCTFX,PRTAX,0.9594,Financial Services,Asset Management - Income,Asset Management - Income,True,1.72,2.11,1.23,749
FCTFX,VNJTX,0.9586,Financial Services,Asset Management - Income,Asset Management,False,1.72,2.7,1.57,749
FCAMX,PRVAX,0.9564,Financial Services,Asset Management,Asset Management - Bonds,False,3.01,1.25,2.41,749
FCAMX,VNJTX,0.9543,Financial Services,Asset Management,Asset Management,True,3.01,2.7,1.11,749
FCAMX,PRTAX,0.9521,Financial Services,Asset Management,Asset Management - Income,False,3.01,2.11,1.42,749
FLCSX,FNILX,0.9483,Financial Services,Asset Management,Asset Management,True,4.29,10.99,2.56,749
INFO,JMUEX,0.9467,Financial Services,Asset Management,Asset Management,True,8.08,26.14,3.24,318
FCAMX,FCTFX,0.9414,Financial Services,Asset Management,Asset Management - Income,False,3.01,1.72,1.75,749
FNILX,JTSSX,0.938,Financial Services,Asset Management,Asset Management,True,10.99,2.45,4.49,749
INFO,JTSSX,0.9374,Financial Services,Asset Management,Asset Management,True,8.08,2.45,3.3,318
AD,TDS,0.9347,Communication Services,Telecommunications Services,Telecommunications Services,True,5.39,3.89,1.39,749
UZE,UZF,0.9319,Communication Services,Telecommunications Services,Telecommunications Services,True,5.39,5.39,1.0,749
INFO,JOBBX,0.9311,Financial Services,Asset Management,Asset Management,True,8.08,8.67,1.07,318
CSQ,INFO,0.9292,Financial Services,Asset Management,Asset Management,True,3.1,8.08,2.61,318
PARA,PARAP,0.929,Communication Services,Entertainment,Entertainment,True,6.95,9.12,1.31,292
AVB,EQR,0.9242,Real Estate,REIT - Residential,REIT - Residential,True,31.24,27.18,1.15,749
TDS,USM,0.9208,Communication Services,Telecommunications Services,Telecommunications Services,True,3.89,5.39,1.39,648
FNILX,SMTAX,0.9206,Financial Services,Asset Management,Asset Management,True,10.99,3.52,3.12,749
FNILX,JOBBX,0.9203,Financial Services,Asset Management,Asset Management,True,10.99,8.67,1.27,749
FLCSX,JTSSX,0.9198,Financial Services,Asset Management,Asset Management,True,4.29,2.45,1.75,749
INFO,SMTAX,0.9174,Financial Services,Asset Management,Asset Management,True,8.08,3.52,2.29,318
FFFEX,PARDX,0.9146,Financial Services,Asset Management,Asset Management,True,274.88,78.12,3.52,749
ATERX,JTSSX,0.9109,Financial Services,Asset Management - Global,Asset Management,False,6.52,2.45,2.66,334
CPT,MAA,0.9096,Real Estate,REIT - Residential,REIT - Residential,True,12.59,18.05,1.43,749
INFO,PRGTX,0.9084,Financial Services,Asset Management,Asset Management - Global,False,8.08,3.11,2.59,318
BATRA,BATRK,0.9074,Communication Services,Entertainment,Entertainment,True,2.55,2.34,1.09,749
CHCLX,LADVX,0.9072,Financial Services,Asset Management,Asset Management,True,1.83,1.38,1.33,749
ASB,FNB,0.9048,Financial Services,Banks - Regional,Banks - Regional,True,4.25,6.14,1.44,749
JMUEX,PARDX,0.9046,Financial Services,Asset Management,Asset Management,True,26.14,78.12,2.99,749
MLM,VMC,0.9041,Basic Materials,Construction Materials,Construction Materials,True,31.71,34.03,1.07,749
PHM,TOL,0.9041,Consumer Cyclical,Residential Construction,Residential Construction,True,23.21,13.36,1.74,749
CUZ,HIW,0.9036,Real Estate,REIT - Office,REIT - Office,True,4.7,3.25,1.45,749
PRGTX,RCGTX,0.9023,Financial Services,Asset Management - Global,Asset Management,False,3.11,1.99,1.57,749
AGNC,NLY,0.9022,Real Estate,REIT - Mortgage,REIT - Mortgage,True,10.93,14.3,1.31,749
LEN,PHM,0.9012,Consumer Cyclical,Residential Construction,Residential Construction,True,33.57,23.21,1.45,749
AMAT,LRCX,0.9009,Technology,Semiconductors,Semiconductors,True,185.99,125.19,1.49,749
DHI,LEN,0.9008,Consumer Cyclical,Residential Construction,Residential Construction,True,52.28,33.57,1.56,749
FLCSX,JOBBX,0.9007,Financial Services,Asset Management,Asset Management,True,4.29,8.67,2.02,749
FLCSX,SMTAX,0.9007,Financial Services,Asset Management,Asset Management,True,4.29,3.52,1.22,749
EQR,UDR,0.9003,Real Estate,REIT - Residential,REIT - Residential,True,27.18,14.29,1.9,749
ATERX,SMTAX,0.9001,Financial Services,Asset Management - Global,Asset Management,False,6.52,3.52,1.85,334
ETIGX,FTIEX,0.8998,Financial Services,Asset Management,Asset Management,True,1.72,5.02,2.91,472
ATERX,FNILX,0.8986,Financial Services,Asset Management - Global,Asset Management,False,6.52,10.99,1.69,334
KLAC,LRCX,0.898,Technology,Semiconductors,Semiconductors,True,119.16,125.19,1.05,749
CSQ,FNILX,0.8974,Financial Services,Asset Management,Asset Management,True,3.1,10.99,3.55,749
DHI,PHM,0.8971,Consumer Cyclical,Residential Construction,Residential Construction,True,52.28,23.21,2.25,749
AMAT,KLAC,0.8961,Technology,Semiconductors,Semiconductors,True,185.99,119.16,1.56,749
FITB,HBAN,0.8948,Financial Services,Banks - Regional,Banks - Regional,True,31.1,25.66,1.21,749
JMUEX,JOBBX,0.8947,Financial Services,Asset Management,Asset Management,True,26.14,8.67,3.02,749
FNB,HWC,0.8945,Financial Services,Banks - Regional,Banks - Regional,True,6.14,5.3,1.16,749
ETY,INFO,0.8941,Financial Services,Asset Management - Income,Asset Management,False,2.51,8.08,3.22,318
ATUS,OPTU,0.8939,Communication Services,Telecommunications Services,Telecommunications Services,True,1.11,1.11,1.0,593
FNB,ONB,0.893,Financial Services,Banks - Regional,Banks - Regional,True,6.14,8.65,1.41,749
WBS,WTFC,0.8922,Financial Services,Banks - Regional,Banks - Regional,True,10.09,9.36,1.08,749
ABCB,UCB,0.8918,Financial Services,Banks - Regional,Banks - Regional,True,5.08,3.8,1.34,749
EQR,ESS,0.8918,Real Estate,REIT - Residential,REIT - Residential,True,27.18,18.33,1.48,749
TBB,TBC,0.8894,Communication Services,Telecommunications Services,Telecommunications Services,True,178.08,180.09,1.01,466
FCF,STBA,0.8893,Financial Services,Banks - Regional,Banks - Regional,True,1.73,1.52,1.14,749
FNB,WTFC,0.8893,Financial Services,Banks - Regional,Banks - Regional,True,6.14,9.36,1.52,749
ASB,HWC,0.8891,Financial Services,Banks - Regional,Banks - Regional,True,4.25,5.3,1.25,749
ADX,FNILX,0.8881,Financial Services,Asset Management,Asset Management,True,2.4,10.99,4.57,749
FNILX,PRGTX,0.8874,Financial Services,Asset Management,Asset Management - Global,False,10.99,3.11,3.53,749
ADX,INFO,0.8873,Financial Services,Asset Management,Asset Management,True,2.4,8.08,3.36,318
ATERX,PTOAX,0.8866,Financial Services,Asset Management - Global,Asset Management,False,6.52,1.34,4.88,334
ASB,ONB,0.8865,Financial Services,Banks - Regional,Banks - Regional,True,4.25,8.65,2.03,749
ETG,EXG,0.8852,Financial Services,Asset Management - Income,Asset Management - Income,True,1.68,2.83,1.69,749
PNFP,SNV,0.885,Financial Services,Banks - Regional,Banks - Regional,True,7.34,7.39,1.01,728
SLG,VNO,0.8845,Real Estate,REIT - Office,REIT - Office,True,3.23,8.01,2.48,749
DOW,LYB,0.8843,Basic Materials,Chemicals,Chemicals - Specialty,False,16.64,24.14,1.45,749
HWC,UCB,0.8842,Financial Services,Banks - Regional,Banks - Regional,True,5.3,3.8,1.39,749
ABCB,HWC,0.884,Financial Services,Banks - Regional,Banks - Regional,True,5.08,5.3,1.04,749
ATERX,JOBBX,0.884,Financial Services,Asset Management - Global,Asset Management,False,6.52,8.67,1.33,334
ABCB,UCBI,0.8833,Financial Services,Banks - Regional,Banks - Regional,True,5.08,3.66,1.39,395
KEY,ZION,0.8828,Financial Services,Banks - Regional,Banks - Regional,True,22.6,8.61,2.62,749
PPBI,SFNC,0.8823,Financial Services,Banks - Regional,Banks - Regional,True,2.36,2.7,1.14,645
FTIEX,JTSSX,0.8821,Financial Services,Asset Management,Asset Management,True,5.02,2.45,2.05,749
KBH,TMHC,0.8817,Consumer Cyclical,Residential Construction,Residential Construction,True,4.36,6.37,1.46,749
ABCB,PPBI,0.8817,Financial Services,Banks - Regional,Banks - Regional,True,5.08,2.36,2.16,645
FNB,HOMB,0.8812,Financial Services,Banks - Regional,Banks - Regional,True,6.14,5.47,1.12,749
ABCB,WSFS,0.8811,Financial Services,Banks - Regional,Banks - Regional,True,5.08,3.0,1.69,749
ETW,EXG,0.8811,Financial Services,Asset Management - Global,Asset Management - Income,False,1.22,2.83,2.32,749
ATERX,JMUEX,0.8811,Financial Services,Asset Management - Global,Asset Management,False,6.52,26.14,4.01,334
CATY,UCB,0.8809,Financial Services,Banks - Regional,Banks - Regional,True,3.28,3.8,1.16,749
ASB,WTFC,0.8805,Financial Services,Banks - Regional,Banks - Regional,True,4.25,9.36,2.2,749
FNB,UCB,0.8799,Financial Services,Banks - Regional,Banks - Regional,True,6.14,3.8,1.62,749
PHM,TMHC,0.8794,Consumer Cyclical,Residential Construction,Residential Construction,True,23.21,6.37,3.64,749
AVB,ESS,0.8793,Real Estate,REIT - Residential,REIT - Residential,True,31.24,18.33,1.7,749
PARAA,PARAP,0.879,Communication Services,Entertainment,Entertainment,True,14.81,9.12,1.62,292
FITB,RF,0.879,Financial Services,Banks - Regional,Banks - Regional,True,31.1,23.71,1.31,749
HOMB,UBSI,0.8787,Financial Services,Banks - Regional,Banks - Regional,True,5.47,5.39,1.01,749
LLYVK,LYV,0.8784,Communication Services,Entertainment,Entertainment,True,6.25,29.8,4.77,623
UBSI,UCB,0.8781,Financial Services,Banks - Regional,Banks - Regional,True,5.39,3.8,1.42,749
BRX,KIM,0.878,Real Estate,REIT - Retail,REIT - Retail,True,8.44,15.73,1.86,749
MTG,RDN,0.8778,Financial Services,Insurance - Specialty,Insurance - Specialty,True,6.2,4.84,1.28,749
HBAN,RF,0.8777,Financial Services,Banks - Regional,Banks - Regional,True,25.66,23.71,1.08,749
AVB,UDR,0.8774,Real Estate,REIT - Residential,REIT - Residential,True,31.24,14.29,2.19,749
BUSE,FFBC,0.877,Financial Services,Banks - Regional,Banks - Regional,True,2.12,2.37,1.12,749
CPT,UDR,0.8766,Real Estate,REIT - Residential,REIT - Residential,True,12.59,14.29,1.14,749
PSGCX,VRMGX,0.8764,Financial Services,Asset Management,Asset Management,True,2.35,9.25,3.93,715
DAL,UAL,0.8764,Industrials,Airlines, Airports & Air Services,Airlines, Airports & Air Services,True,44.97,36.57,1.23,749
HOPE,PPBI,0.876,Financial Services,Banks - Regional,Banks - Regional,True,1.41,2.36,1.67,645
FTIEX,JOBBX,0.8759,Financial Services,Asset Management,Asset Management,True,5.02,8.67,1.73,749
UZD,UZF,0.8757,Communication Services,Telecommunications Services,Telecommunications Services,True,5.39,5.39,1.0,749
MPC,VLO,0.8756,Energy,Oil & Gas Refining & Marketing,Oil & Gas Refining & Marketing,True,47.57,50.3,1.06,749
CBRE,JLL,0.8752,Real Estate,Real Estate - Services,Real Estate - Services,True,40.16,12.02,3.34,749
TMHC,TPH,0.8748,Consumer Cyclical,Residential Construction,Residential Construction,True,6.37,3.41,1.87,749
STBA,UBSI,0.8742,Financial Services,Banks - Regional,Banks - Regional,True,1.52,5.39,3.55,749
MET,PRU,0.8741,Financial Services,Insurance - Life,Insurance - Life,True,56.43,42.37,1.33,749
NWBI,STBA,0.874,Financial Services,Banks - Regional,Banks - Regional,True,1.76,1.52,1.16,749
HWC,ONB,0.8739,Financial Services,Banks - Regional,Banks - Regional,True,5.3,8.65,1.63,749
TOWN,UBSI,0.8735,Financial Services,Banks - Regional,Banks - Regional,True,2.56,5.39,2.11,749
UCB,WSFS,0.8735,Financial Services,Banks - Regional,Banks - Regional,True,3.8,3.0,1.26,749
BHLB,PFS,0.873,Financial Services,Banks - Regional,Banks - Regional,True,2.32,2.58,1.11,646
TMHC,TOL,0.8725,Consumer Cyclical,Residential Construction,Residential Construction,True,6.37,13.36,2.1,749
FTIEX,SMTAX,0.8725,Financial Services,Asset Management,Asset Management,True,5.02,3.52,1.43,749
BHLB,WSFS,0.8722,Financial Services,Banks - Regional,Banks - Regional,True,2.32,3.0,1.3,646
BUSE,FRME,0.872,Financial Services,Banks - Regional,Banks - Regional,True,2.12,2.16,1.02,749
SSB,UCB,0.8715,Financial Services,Banks - Regional,Banks - Regional,True,9.42,3.8,2.48,749
FNB,FULT,0.8713,Financial Services,Banks - Regional,Banks - Regional,True,6.14,3.54,1.73,749
ESS,UDR,0.8713,Real Estate,REIT - Residential,REIT - Residential,True,18.33,14.29,1.28,749
ABCB,BKU,0.8711,Financial Services,Banks - Regional,Banks - Regional,True,5.08,3.39,1.5,749
ETG,JTSSX,0.8709,Financial Services,Asset Management - Income,Asset Management,False,1.68,2.45,1.46,749
BHLB,STBA,0.8705,Financial Services,Banks - Regional,Banks - Regional,True,2.32,1.52,1.52,646
CFG,FITB,0.8703,Financial Services,Banks - Regional,Banks - Regional,True,25.2,31.1,1.23,749
UZD,UZE,0.8702,Communication Services,Telecommunications Services,Telecommunications Services,True,5.39,5.39,1.0,749
HOPE,WSFS,0.8702,Financial Services,Banks - Regional,Banks - Regional,True,1.41,3.0,2.13,749
FMIHX,FMIJX,0.8702,Financial Services,Asset Management,Asset Management,True,1.21,2.71,2.25,749
PPBI,UCB,0.8701,Financial Services,Banks - Regional,Banks - Regional,True,2.36,3.8,1.61,645
BANR,BHLB,0.8695,Financial Services,Banks - Regional,Banks - Regional,True,2.14,2.32,1.08,646
FFIN,SSB,0.8694,Financial Services,Banks - Regional,Banks - Regional,True,4.27,9.42,2.2,749
FCF,FFBC,0.8694,Financial Services,Banks - Regional,Banks - Regional,True,1.73,2.37,1.37,749
CBU,UBSI,0.8694,Financial Services,Banks - Regional,Banks - Regional,True,3.22,5.39,1.68,749
FRT,REG,0.8687,Real Estate,REIT - Retail,REIT - Retail,True,9.35,14.03,1.5,749
CATY,HOPE,0.8686,Financial Services,Banks - Regional,Banks - Regional,True,3.28,1.41,2.32,749
EGP,FR,0.8683,Real Estate,REIT - Industrial,REIT - Industrial,True,7.83,6.64,1.18,749
MTDR,SM,0.868,Energy,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,True,6.95,4.45,1.56,749
FFBC,UBSI,0.8678,Financial Services,Banks - Regional,Banks - Regional,True,2.37,5.39,2.27,749
ASB,UCB,0.8674,Financial Services,Banks - Regional,Banks - Regional,True,4.25,3.8,1.12,749
HOMB,UCB,0.8673,Financial Services,Banks - Regional,Banks - Regional,True,5.47,3.8,1.44,749
HWC,UCBI,0.8672,Financial Services,Banks - Regional,Banks - Regional,True,5.3,3.66,1.45,395
FRME,UBSI,0.8671,Financial Services,Banks - Regional,Banks - Regional,True,2.16,5.39,2.49,749
PPBI,UCBI,0.8671,Financial Services,Banks - Regional,Banks - Regional,True,2.36,3.66,1.55,395
BRX,KRG,0.8667,Real Estate,REIT - Retail,REIT - Retail,True,8.44,5.54,1.52,749
FITB,USB,0.8666,Financial Services,Banks - Regional,Banks - Regional,True,31.1,82.97,2.67,749
FNB,SNV,0.8666,Financial Services,Banks - Regional,Banks - Regional,True,6.14,7.39,1.2,728
FIBK,UCB,0.8665,Financial Services,Banks - Regional,Banks - Regional,True,3.34,3.8,1.14,749
SFNC,UCB,0.8665,Financial Services,Banks - Regional,Banks - Regional,True,2.7,3.8,1.41,749
BWNB,BWSN,0.8664,Technology,Consumer Electronics,Consumer Electronics,True,1.67,1.67,1.0,711
AFMBX,PARDX,0.8663,Financial Services,Asset Management,Asset Management,True,216.87,78.12,2.78,749
CFG,HBAN,0.8662,Financial Services,Banks - Regional,Banks - Regional,True,25.2,25.66,1.02,749
FIBK,FNB,0.8662,Financial Services,Banks - Regional,Banks - Regional,True,3.34,6.14,1.84,749
CMA,ZION,0.8662,Financial Services,Banks - Regional,Banks - Regional,True,11.47,8.61,1.33,749
FFBC,HOMB,0.8661,Financial Services,Banks - Regional,Banks - Regional,True,2.37,5.47,2.31,749
AMFCX,FLCSX,0.8661,Financial Services,Asset Management,Asset Management,True,5.11,4.29,1.19,749
MTH,TMHC,0.8659,Consumer Cyclical,Residential Construction,Residential Construction,True,4.66,6.37,1.37,749
MTB,RF,0.8659,Financial Services,Banks - Regional,Banks - Regional,True,32.9,23.71,1.39,749
FFBC,FRME,0.8659,Financial Services,Banks - Regional,Banks - Regional,True,2.37,2.16,1.1,749
JTSSX,PTOAX,0.8659,Financial Services,Asset Management,Asset Management,True,2.45,1.34,1.83,749
MAA,UDR,0.8659,Real Estate,REIT - Residential,REIT - Residential,True,18.05,14.29,1.26,749
FFBC,UCB,0.8657,Financial Services,Banks - Regional,Banks - Regional,True,2.37,3.8,1.6,749
BHLB,UCB,0.8656,Financial Services,Banks - Regional,Banks - Regional,True,2.32,3.8,1.64,646
CATY,HWC,0.8655,Financial Services,Banks - Regional,Banks - Regional,True,3.28,5.3,1.62,749
FNB,SSB,0.8653,Financial Services,Banks - Regional,Banks - Regional,True,6.14,9.42,1.53,749
HLT,MAR,0.8652,Consumer Cyclical,Travel Lodging,Travel Lodging,True,61.17,79.27,1.3,749
HWC,WTFC,0.8652,Financial Services,Banks - Regional,Banks - Regional,True,5.3,9.36,1.77,749
FRME,WSFS,0.8651,Financial Services,Banks - Regional,Banks - Regional,True,2.16,3.0,1.39,749
ABCB,HOPE,0.865,Financial Services,Banks - Regional,Banks - Regional,True,5.08,1.41,3.6,749
ABCB,CATY,0.8649,Financial Services,Banks - Regional,Banks - Regional,True,5.08,3.28,1.55,749
FULT,ONB,0.8648,Financial Services,Banks - Regional,Banks - Regional,True,3.54,8.65,2.44,749
KBH,TOL,0.8644,Consumer Cyclical,Residential Construction,Residential Construction,True,4.36,13.36,3.07,749
FFBC,PPBI,0.8644,Financial Services,Banks - Regional,Banks - Regional,True,2.37,2.36,1.01,645
CATY,UBSI,0.8643,Financial Services,Banks - Regional,Banks - Regional,True,3.28,5.39,1.65,749
BANR,PPBI,0.8642,Financial Services,Banks - Regional,Banks - Regional,True,2.14,2.36,1.1,645
FRT,KIM,0.8642,Real Estate,REIT - Retail,REIT - Retail,True,9.35,15.73,1.68,749
FCF,NWBI,0.8639,Financial Services,Banks - Regional,Banks - Regional,True,1.73,1.76,1.02,749
CMS,WEC,0.8639,Utilities,Regulated Electric,Regulated Electric,True,19.84,29.74,1.5,749
CFG,KEY,0.8638,Financial Services,Banks - Regional,Banks - Regional,True,25.2,22.6,1.11,749
STBA,WSFS,0.8638,Financial Services,Banks - Regional,Banks - Regional,True,1.52,3.0,1.98,749
SFNC,UBSI,0.8638,Financial Services,Banks - Regional,Banks - Regional,True,2.7,5.39,2.0,749
GDV,INFO,0.8637,Financial Services,Asset Management - Income,Asset Management,False,2.16,8.08,3.75,318
HOPE,UCB,0.8637,Financial Services,Banks - Regional,Banks - Regional,True,1.41,3.8,2.69,749
INDB,UCB,0.8636,Financial Services,Banks - Regional,Banks - Regional,True,3.61,3.8,1.05,749
BXP,KRC,0.8634,Real Estate,REIT - Office,REIT - Office,True,11.71,4.76,2.46,749
AR,RRC,0.8633,Energy,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,True,10.85,8.66,1.25,749
DRH,RLJ,0.8631,Real Estate,REIT - Hotel & Motel,REIT - Hotel & Motel,True,1.9,1.56,1.22,749
STBA,TRST,0.863,Financial Services,Banks - Regional,Banks - Regional,True,1.52,1.02,1.48,749
BUSE,WSBC,0.8629,Financial Services,Banks - Regional,Banks - Regional,True,2.12,2.98,1.4,749
ABCB,FNB,0.8628,Financial Services,Banks - Regional,Banks - Regional,True,5.08,6.14,1.21,749
ETY,FNILX,0.8628,Financial Services,Asset Management - Income,Asset Management,False,2.51,10.99,4.39,749
CSQ,JTSSX,0.8626,Financial Services,Asset Management,Asset Management,True,3.1,2.45,1.26,749
PFS,PPBI,0.8625,Financial Services,Banks - Regional,Banks - Regional,True,2.58,2.36,1.09,645
AMFCX,FNILX,0.8625,Financial Services,Asset Management,Asset Management,True,5.11,10.99,2.15,749
BBT,STBA,0.8624,Financial Services,Asset Management,Banks - Regional,False,2.31,1.52,1.52,749
UGI,UGIC,0.8624,Utilities,Regulated Gas,Regulated Gas,True,7.15,12.42,1.74,331
FIBK,ONB,0.8623,Financial Services,Banks - Regional,Banks - Regional,True,3.34,8.65,2.59,749
KBH,MTH,0.8621,Consumer Cyclical,Residential Construction,Residential Construction,True,4.36,4.66,1.07,749
MTDR,PR,0.862,Energy,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,True,6.95,9.21,1.33,749
NWBI,UBSI,0.862,Financial Services,Banks - Regional,Banks - Regional,True,1.76,5.39,3.06,749
PPBI,WSFS,0.862,Financial Services,Banks - Regional,Banks - Regional,True,2.36,3.0,1.27,645
FNB,WBS,0.8619,Financial Services,Banks - Regional,Banks - Regional,True,6.14,10.09,1.64,749
ABCB,SFNC,0.8618,Financial Services,Banks - Regional,Banks - Regional,True,5.08,2.7,1.89,749
BHLB,FCF,0.8617,Financial Services,Banks - Regional,Banks - Regional,True,2.32,1.73,1.34,646
CFG,HSSIX,0.8617,Financial Services,Banks - Regional,Asset Management,False,25.2,85.38,3.39,749
ASB,CATY,0.8616,Financial Services,Banks - Regional,Banks - Regional,True,4.25,3.28,1.3,749
ARTMX,ATERX,0.8616,Financial Services,Asset Management,Asset Management - Global,False,3.37,6.52,1.93,334
ABCB,CADE,0.8615,Financial Services,Banks - Regional,Banks - Regional,True,5.08,8.06,1.59,749
