start_date,end_date,n_stocks,return,spy_return,avg_roic,msg
2000-07-01,2001-07-01,8,-0.0858533741373828,0.16371707771980182,0.22736714731375363,invested
2001-07-01,2002-07-01,0,0.0,0.0,,cash (< 10 stocks)
2002-07-01,2003-07-01,0,0.0,0.0,,cash (< 10 stocks)
2003-07-01,2004-07-01,0,0.0,0.0,,cash (< 10 stocks)
2004-07-01,2005-07-01,0,0.0,0.0,,cash (< 10 stocks)
2005-07-01,2006-07-01,0,0.0,0.0,,cash (< 10 stocks)
2006-07-01,2007-07-01,3,0.8534392546988295,1.260257273502359,0.16541913753834667,invested
2007-07-01,2008-07-01,4,0.1116675926170867,-0.30877947935764866,0.2724180946729586,invested
2008-07-01,2009-07-01,6,0.2833081154461168,0.1540615233110412,0.894271071638446,invested
2009-07-01,2010-07-01,4,-0.15219763436681988,-0.22133883259554613,0.3517866771393212,invested
2010-07-01,2011-07-01,9,0.2495358485075423,0.180417590924058,0.38364639243626875,invested
2011-07-01,2012-07-01,18,-0.09659402937008633,-0.20858369934097215,1.021373831147071,invested
2012-07-01,2013-07-01,13,-0.2125447331641421,-0.09862497246188554,0.4156152323038536,invested
2013-07-01,2014-07-01,6,-0.015884666181318594,0.026342550656740734,0.697559142485535,invested
2014-07-01,2015-07-01,6,0.6895498966838195,0.899938307278118,0.5245071897051826,invested
2015-07-01,2016-07-01,9,-0.15855826865995062,-0.23619169368959297,2.09858769704722,invested
2016-07-01,2017-07-01,7,-0.10843892905953,0.06936620064837472,2.710317026522884,invested
2017-07-01,2018-07-01,9,-0.24582978517516077,-0.13152903135735136,1.6735373321379956,invested
2018-07-01,2019-07-01,10,0.1856105503457608,0.0966963536040084,1.2048755418104906,invested
2019-07-01,2020-07-01,7,-0.20595164031773708,0.015317624291411947,0.5529729640878862,invested
2020-07-01,2021-07-01,13,0.1389614607508579,0.13854759601019132,1.1528717644307092,invested
2021-07-01,2022-07-01,18,-0.16012753489830217,-0.032207399674296026,0.9699129228026133,invested
2022-07-01,2023-07-01,28,-0.2152787944912333,-0.04740955613269268,0.6685276546323692,invested
2023-07-01,2024-07-01,28,-0.097258442381866,-0.076131474769459,0.6954564051560013,invested
2024-07-01,2025-07-01,29,0.11452789549237324,0.15274518511944066,0.7113870358188934,invested
