start_date,end_date,n_stocks,return,spy_return,msg
2000-07-01,2001-07-01,0,0.0,0.0,cash (< 10 stocks)
2001-07-01,2002-07-01,2,-0.27059214298246204,-0.1984964728403499,invested
2002-07-01,2003-07-01,0,0.0,0.0,cash (< 10 stocks)
2003-07-01,2004-07-01,3,0.6933845427494219,0.17057080323029727,invested
2004-07-01,2005-07-01,2,0.03805618806999333,0.12071062220424926,invested
2005-07-01,2006-07-01,2,0.5560048601486663,0.2287064859722732,invested
2006-07-01,2007-07-01,5,0.41266535719622677,0.1906432547395149,invested
2007-07-01,2008-07-01,9,-0.22079658695935558,-0.2555152741557629,invested
2008-07-01,2009-07-01,11,-0.21172114308858136,-0.21750064211872142,invested
2009-07-01,2010-07-01,7,0.2088415401299813,0.11560097819406802,invested
2010-07-01,2011-07-01,11,0.12699731084127677,0.04544130515285257,invested
2011-07-01,2012-07-01,13,-0.008185555996888966,-0.021833883628613066,invested
2012-07-01,2013-07-01,9,0.42696567820718756,0.2656901271152538,invested
2013-07-01,2014-07-01,10,0.14551216669636724,0.11310268251179618,invested
2014-07-01,2015-07-01,11,0.06391822936812952,0.04116091940018507,invested
2015-07-01,2016-07-01,24,0.09674503605255425,-0.10096216925875365,invested
2016-07-01,2017-07-01,20,0.18452612782749075,0.11829886070436763,invested
2017-07-01,2018-07-01,18,0.02791598455154533,-0.053299653311541594,invested
2018-07-01,2019-07-01,21,0.07281950917151823,0.17484308988011033,invested
2019-07-01,2020-07-01,23,0.06440177041352435,0.016628186006319576,invested
2020-07-01,2021-07-01,18,0.2305714791466207,0.17445593924980246,invested
2021-07-01,2022-07-01,16,-0.14056042308555544,-0.0905043553726402,invested
2022-07-01,2023-07-01,20,0.126406836481197,0.030985224354722507,invested
2023-07-01,2024-07-01,15,0.19537239646848542,0.0705819540696042,invested
2024-07-01,2025-07-01,13,0.057167911928998366,-0.0015635250573936745,invested
