symbol,event_date,split_ratio,category,window,stock_ret_pct,bench_ret_pct,car_pct
MSTR,2000-01-27,2.0,2-for-1,-5,-3.7711,3.2051,-6.9761
MSTR,2000-01-27,2.0,2-for-1,1,0.0,0.0,0.0
MSTR,2000-01-27,2.0,2-for-1,5,-3.871,5.3815,-9.2524
MSTR,2000-01-27,2.0,2-for-1,21,-3.2258,0.1747,-3.4005
MSTR,2000-01-27,2.0,2-for-1,63,-68.2194,7.7228,-75.9421
MSTR,2000-01-27,2.0,2-for-1,126,-69.3548,7.5131,-76.8679
MSTR,2000-01-27,2.0,2-for-1,252,-80.0,1.0483,-81.0483
CHKP,2000-01-31,2.0,2-for-1,-5,16.0048,0.5557,15.4491
CHKP,2000-01-31,2.0,2-for-1,1,0.0,0.0,0.0
CHKP,2000-01-31,2.0,2-for-1,5,10.2362,1.022,9.2142
CHKP,2000-01-31,2.0,2-for-1,21,66.7323,-1.7633,68.4955
CHKP,2000-01-31,2.0,2-for-1,63,42.7165,4.6159,38.1006
CHKP,2000-01-31,2.0,2-for-1,126,82.6772,1.9654,80.7118
CHKP,2000-01-31,2.0,2-for-1,252,161.2205,-1.1905,162.411
FWRD,2000-01-31,1.5,other,-5,-2.6441,0.5557,-3.1997
FWRD,2000-01-31,1.5,other,1,0.0,0.0,0.0
FWRD,2000-01-31,1.5,other,5,16.6203,1.022,15.5983
FWRD,2000-01-31,1.5,other,21,-8.8317,-1.7633,-7.0685
FWRD,2000-01-31,1.5,other,63,28.79,4.6159,24.1741
FWRD,2000-01-31,1.5,other,126,71.9054,1.9654,69.94
FWRD,2000-01-31,1.5,other,252,41.8637,-1.1905,43.0542
FDS,2000-02-07,2.0,2-for-1,-5,7.4212,-1.9678,9.3889
FDS,2000-02-07,2.0,2-for-1,1,0.0,0.0,0.0
FDS,2000-02-07,2.0,2-for-1,5,-6.3735,-3.3341,-3.0394
FDS,2000-02-07,2.0,2-for-1,21,-4.334,-5.1546,0.8207
FDS,2000-02-07,2.0,2-for-1,63,-0.956,-1.0419,0.0859
FDS,2000-02-07,2.0,2-for-1,126,13.3843,3.1367,10.2477
FDS,2000-02-07,2.0,2-for-1,252,22.8171,-5.1985,28.0156
FORR,2000-02-08,2.0,2-for-1,-5,-22.1476,-2.347,-19.8006
FORR,2000-02-08,2.0,2-for-1,1,0.0,0.0,0.0
FORR,2000-02-08,2.0,2-for-1,5,35.4386,-0.1456,35.5843
