symbol,event_date,upgrade_delta,downgrade_delta,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
6471.T,2022-07-01,7,0,upgrade_large,0.016668,-0.006367,0.023035,0.019446,-0.000995,0.020441,0.036113,0.051731,-0.015618,0.002473,-0.079188,0.081661
6723.T,2022-07-01,7,1,upgrade_large,0.014224,-0.006367,0.020591,0.033467,-0.000995,0.034461,0.051045,0.051731,-0.000686,0.005859,-0.079188,0.085048
6952.T,2022-07-01,3,1,upgrade_medium,0.016099,-0.006367,0.022466,0.017714,-0.000995,0.018709,0.046699,0.051731,-0.005032,0.040311,-0.079188,0.119499
6965.T,2022-07-01,4,1,upgrade_medium,0.015326,-0.006367,0.021693,0.093871,-0.000995,0.094866,0.155174,0.051731,0.103443,0.203223,-0.079188,0.282411
6976.T,2022-07-01,8,3,upgrade_large,-0.003423,-0.006367,0.002944,0.041095,-0.000995,0.04209,0.05936,0.051731,0.007629,-0.139312,-0.079188,-0.060123
7182.T,2022-07-01,3,1,upgrade_medium,0.023858,-0.006367,0.030225,0.022897,-0.000995,0.023892,0.003813,0.051731,-0.047918,-0.037218,-0.079188,0.04197
7205.T,2022-07-01,9,2,upgrade_large,0.021866,-0.006367,0.028233,0.039359,-0.000995,0.040353,-0.040816,0.051731,-0.092547,-0.131195,-0.079188,-0.052007
6594.T,2022-07-01,18,2,upgrade_large,0.051845,-0.006367,0.058212,0.116803,-0.000995,0.117798,0.145606,0.051731,0.093875,0.000417,-0.079188,0.079605
7282.T,2022-07-01,2,0,upgrade_small,0.001926,-0.006367,0.008293,0.037483,-0.000995,0.038478,0.03652,0.051731,-0.015211,0.064052,-0.079188,0.14324
7701.T,2022-07-01,7,0,upgrade_large,0.024794,-0.006367,0.031161,0.056671,-0.000995,0.057666,0.103895,0.051731,0.052164,-0.098747,-0.079188,-0.019559
7832.T,2022-07-01,7,0,upgrade_large,0.039315,-0.006367,0.045682,0.041388,-0.000995,0.042383,0.024482,0.051731,-0.027249,-0.018747,-0.079188,0.060441
8060.T,2022-07-01,2,0,upgrade_small,0.018304,-0.006367,0.024671,0.039481,-0.000995,0.040476,0.107323,0.051731,0.055592,0.148599,-0.079188,0.227787
8354.T,2022-07-01,8,1,upgrade_large,0.024509,-0.006367,0.030876,0.008725,-0.000995,0.00972,-0.033239,0.051731,-0.08497,0.088409,-0.079188,0.167598
6432.T,2022-07-01,3,0,upgrade_medium,0.021432,-0.006367,0.027799,0.025369,-0.000995,0.026363,0.086174,0.051731,0.034443,0.16404,-0.079188,0.243228
8985.T,2022-07-01,7,0,upgrade_large,0.00152,-0.006367,0.007887,-0.047113,-0.000995,-0.046118,0.05927,0.051731,0.007539,0.095745,-0.079188,0.174933
9401.T,2022-07-01,0,2,downgrade_cluster,0.024038,-0.006367,0.030404,0.012311,-0.000995,0.013306,-0.026964,0.051731,-0.078695,-0.060218,-0.079188,0.01897
9956.T,2022-07-01,2,0,upgrade_small,0.009958,-0.006367,0.016325,0.069139,-0.000995,0.070134,0.027652,0.051731,-0.024079,-0.001136,-0.079188,0.078053
3405.T,2022-07-01,3,0,upgrade_medium,0.006434,-0.006367,0.0128,-0.006434,-0.000995,-0.005439,-0.015623,0.051731,-0.067354,-0.070769,-0.079188,0.008419
3436.T,2022-07-01,14,2,upgrade_large,0.011211,-0.006367,0.017578,0.039525,-0.000995,0.04052,0.091448,0.051731,0.039717,-0.004128,-0.079188,0.07506
