symbol,event_date,upgrade_delta,downgrade_delta,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
CCL-B.TO,2022-05-01,6,0,upgrade_large,0.020661,0.013703,0.006959,-0.025733,-0.042274,0.016542,0.091848,0.021574,0.070274,0.12716,-0.052478,0.179638
LIF.TO,2022-05-01,2,0,upgrade_small,-0.001563,0.013703,-0.015266,-0.128566,-0.042274,-0.086292,-0.058226,0.021574,-0.0798,-0.18601,-0.052478,-0.133532
MDI.TO,2022-05-01,2,0,upgrade_small,0.013736,0.013703,3.4e-05,-0.091575,-0.042274,-0.049301,-0.019231,0.021574,-0.040805,-0.108974,-0.052478,-0.056496
RUS.TO,2022-05-01,4,0,upgrade_medium,0.002795,0.013703,-0.010907,-0.07058,-0.042274,-0.028306,-0.040531,0.021574,-0.062105,-0.186583,-0.052478,-0.134105
MER.TO,2022-05-01,5,0,upgrade_large,0.03271,0.013703,0.019008,-0.042056,-0.042274,0.000218,0.070093,0.021574,0.048519,-0.037383,-0.052478,0.015095
QBR-B.TO,2022-05-01,15,0,upgrade_large,-0.010942,0.013703,-0.024644,-0.034779,-0.042274,0.007495,-0.021493,0.021574,-0.043067,-0.042204,-0.052478,0.010274
RSI.TO,2022-05-01,3,0,upgrade_medium,0.010288,0.013703,-0.003415,0.018519,-0.042274,0.060793,0.047325,0.021574,0.025751,0.072016,-0.052478,0.124495
ARX.TO,2022-05-01,16,0,upgrade_large,0.047619,0.013703,0.033916,-0.079794,-0.042274,-0.03752,0.121622,0.021574,0.100047,0.046332,-0.052478,0.09881
CRT-UN.TO,2022-05-01,2,0,upgrade_small,0.011586,0.013703,-0.002117,-0.020275,-0.042274,0.021999,0.016655,0.021574,-0.00492,-0.011586,-0.052478,0.040892
GUD.TO,2022-05-01,8,0,upgrade_large,0.016949,0.013703,0.003247,0.0,-0.042274,0.042274,0.022599,0.021574,0.001025,0.048964,-0.052478,0.101442
STN.TO,2022-05-01,5,0,upgrade_large,0.004209,0.013703,-0.009494,-0.035952,-0.042274,0.006322,0.003508,0.021574,-0.018067,0.049982,-0.052478,0.102461
TRI.TO,2022-05-01,6,1,upgrade_large,-0.007832,0.013703,-0.021535,-0.043779,-0.042274,-0.001505,-0.026053,0.021574,-0.047628,0.120043,-0.052478,0.172521
RCI-B.TO,2022-05-01,9,0,upgrade_large,0.002162,0.013703,-0.01154,-0.064538,-0.042274,-0.022264,-0.055888,0.021574,-0.077463,-0.153693,-0.052478,-0.101214
BBD-B.TO,2022-05-01,12,1,upgrade_large,-0.008,0.013703,-0.021703,-0.08,-0.042274,-0.037726,-0.024,0.021574,-0.045574,-0.30912,-0.052478,-0.256642
BLDP.TO,2022-05-01,10,1,upgrade_large,0.013699,0.013703,-4e-06,-0.180822,-0.042274,-0.138548,-0.179909,0.021574,-0.201483,-0.03653,-0.052478,0.015948
EDR.TO,2022-05-01,2,1,upgrade_small,0.0375,0.013703,0.023797,-0.125,-0.042274,-0.082726,-0.070833,0.021574,-0.092408,-0.039583,-0.052478,0.012895
EDV.TO,2022-05-01,8,0,upgrade_large,0.003715,0.013703,-0.009988,0.001114,-0.042274,0.043388,-0.052377,0.021574,-0.073952,-0.190193,-0.052478,-0.137715
KEL.TO,2022-05-01,16,0,upgrade_large,0.032458,0.013703,0.018755,-0.040185,-0.042274,0.002089,0.117465,0.021574,0.095891,0.044822,-0.052478,0.0973
NOA.TO,2022-05-01,3,0,upgrade_medium,0.006127,0.013703,-0.007576,-0.031314,-0.042274,0.01096,0.062628,0.021574,0.041053,-0.077604,-0.052478,-0.025126
PPL.TO,2022-05-01,16,0,upgrade_large,0.008743,0.013703,-0.004959,0.015988,-0.042274,0.058262,0.074194,0.021574,0.05262,0.008494,-0.052478,0.060972
WTE.TO,2022-05-01,3,0,upgrade_medium,0.017343,0.013703,0.003641,0.019188,-0.042274,0.061462,0.093358,0.021574,0.071784,0.013284,-0.052478,0.065762
PSK.TO,2022-05-01,5,2,upgrade_large,0.023256,0.013703,0.009553,0.036545,-0.042274,0.078819,0.117608,0.021574,0.096034,0.059801,-0.052478,0.112279
T.TO,2022-05-01,10,0,upgrade_large,0.003893,0.013703,-0.00981,-0.001946,-0.042274,0.040328,-0.014402,0.021574,-0.035977,-0.075905,-0.052478,-0.023427
TXG.TO,2022-05-01,8,0,upgrade_large,0.018678,0.013703,0.004976,-0.090517,-0.042274,-0.048243,-0.096983,0.021574,-0.118557,-0.297414,-0.052478,-0.244936
YRI.TO,2022-05-01,6,2,upgrade_large,0.026316,0.013703,0.012613,-0.024854,-0.042274,0.01742,0.027778,0.021574,0.006203,-0.095085,-0.052478,-0.042607
CAE.TO,2022-05-01,5,1,upgrade_large,-0.032812,0.013703,-0.046515,-0.091875,-0.042274,-0.049601,0.063125,0.021574,0.041551,0.05375,-0.052478,0.106228
ALA.TO,2022-05-01,6,1,upgrade_large,-0.011499,0.013703,-0.025201,-0.016653,-0.042274,0.025621,0.048771,0.021574,0.027196,-0.003965,-0.052478,0.048513
CEU.TO,2022-05-01,11,0,upgrade_large,0.025862,0.013703,0.012159,-0.047414,-0.042274,-0.00514,0.090517,0.021574,0.068943,0.047414,-0.052478,0.099892
CHE-UN.TO,2022-05-01,7,0,upgrade_large,0.013913,0.013703,0.00021,-0.017391,-0.042274,0.024883,0.149565,0.021574,0.127991,0.149565,-0.052478,0.202043
CM.TO,2022-05-01,6,3,upgrade_large,0.002369,0.013703,-0.011334,-0.017767,-0.042274,0.024508,-0.014044,0.021574,-0.035618,-0.080203,-0.052478,-0.027725
FVI.TO,2022-05-01,5,0,upgrade_large,0.04328,0.013703,0.029578,-0.118451,-0.042274,-0.076177,-0.020501,0.021574,-0.042075,-0.175399,-0.052478,-0.122921
LUN.TO,2022-05-01,17,0,upgrade_large,-0.022792,0.013703,-0.036495,-0.106363,-0.042274,-0.064089,-0.061728,0.021574,-0.083303,-0.421652,-0.052478,-0.369174
MRG-UN.TO,2022-05-01,4,0,upgrade_medium,0.039788,0.013703,0.026085,-0.025199,-0.042274,0.017075,0.011273,0.021574,-0.010301,-0.009284,-0.052478,0.043194
BIP-UN.TO,2022-05-01,3,1,upgrade_medium,0.004159,0.013703,-0.009544,-0.00878,-0.042274,0.033494,-0.009473,0.021574,-0.031048,-0.002773,-0.052478,0.049705
BOS.TO,2022-05-01,2,0,upgrade_small,-0.012876,0.013703,-0.026578,-0.221225,-0.042274,-0.178951,-0.361295,0.021574,-0.38287,-0.484979,-0.052478,-0.4325
CF.TO,2022-05-01,2,0,upgrade_small,0.012552,0.013703,-0.00115,-0.070084,-0.042274,-0.02781,-0.077406,0.021574,-0.09898,-0.103556,-0.052478,-0.051078
HRX.TO,2022-05-01,4,0,upgrade_medium,-0.00998,0.013703,-0.023683,-0.035928,-0.042274,0.006346,0.057884,0.021574,0.03631,-0.028609,-0.052478,0.023869
CTC-A.TO,2022-05-01,12,0,upgrade_large,-0.029927,0.013703,-0.04363,-0.043902,-0.042274,-0.001628,-0.025049,0.021574,-0.046624,-0.055504,-0.052478,-0.003026
TCN.TO,2022-05-01,10,0,upgrade_large,-0.015734,0.013703,-0.029437,-0.103147,-0.042274,-0.060873,-0.140443,0.021574,-0.162017,-0.212121,-0.052478,-0.159643
AQN.TO,2022-05-01,9,0,upgrade_large,-0.008778,0.013703,-0.02248,-0.038488,-0.042274,0.003787,-0.014855,0.021574,-0.036429,-0.009453,-0.052478,0.043025
BTE.TO,2022-05-01,2,2,upgrade_small,0.059113,0.013703,0.045411,-0.055829,-0.042274,-0.013555,0.098522,0.021574,0.076948,0.01642,-0.052478,0.068899
GIB-A.TO,2022-05-01,16,2,upgrade_large,0.020346,0.013703,0.006644,-0.001859,-0.042274,0.040416,0.044116,0.021574,0.022542,0.070429,-0.052478,0.122908
LUG.TO,2022-05-01,11,0,upgrade_large,0.029988,0.013703,0.016286,0.010381,-0.042274,0.052655,0.00692,0.021574,-0.014654,-0.144175,-0.052478,-0.091697
SLF.TO,2022-05-01,5,0,upgrade_large,0.012977,0.013703,-0.000725,0.007786,-0.042274,0.05006,-0.006118,0.021574,-0.027692,-0.069892,-0.052478,-0.017414
WDO.TO,2022-05-01,10,0,upgrade_large,0.043745,0.013703,0.030043,0.029163,-0.042274,0.071438,-0.075211,0.021574,-0.096785,-0.188028,-0.052478,-0.135549
ABX.TO,2022-05-01,11,1,upgrade_large,0.009501,0.013703,-0.004201,-0.020586,-0.042274,0.021688,-0.085115,0.021574,-0.106689,-0.290578,-0.052478,-0.2381
AFN.TO,2022-05-01,8,0,upgrade_large,0.019702,0.013703,0.005999,-0.038339,-0.042274,0.003935,-0.161076,0.021574,-0.18265,-0.164004,-0.052478,-0.111526
UNS.TO,2022-05-01,4,1,upgrade_medium,-0.002411,0.013703,-0.016114,-0.056838,-0.042274,-0.014564,0.01619,0.021574,-0.005384,0.280399,-0.052478,0.332878
D-UN.TO,2022-05-01,2,0,upgrade_small,0.004988,0.013703,-0.008715,-0.081671,-0.042274,-0.039397,-0.053616,0.021574,-0.07519,-0.164589,-0.052478,-0.11211
NWC.TO,2022-05-01,2,0,upgrade_small,-0.004526,0.013703,-0.018229,0.015196,-0.042274,0.05747,-0.005173,0.021574,-0.026747,-0.038474,-0.052478,0.014004
PAAS.TO,2022-05-01,7,0,upgrade_large,0.028374,0.013703,0.014671,-0.075433,-0.042274,-0.033158,-0.105536,0.021574,-0.127111,-0.173702,-0.052478,-0.121224
PBH.TO,2022-05-01,5,0,upgrade_large,-0.005944,0.013703,-0.019647,-0.042689,-0.042274,-0.000415,-0.053928,0.021574,-0.075503,-0.020426,-0.052478,0.032052
SSRM.TO,2022-05-01,7,0,upgrade_large,0.074827,0.013703,0.061125,-0.027245,-0.042274,0.015029,-0.061397,0.021574,-0.082971,-0.249808,-0.052478,-0.19733
AC.TO,2022-05-01,13,0,upgrade_large,0.036668,0.013703,0.022966,-0.066093,-0.042274,-0.023819,-0.032141,0.021574,-0.053716,-0.206428,-0.052478,-0.15395
ENB.TO,2022-05-01,9,0,upgrade_large,0.006854,0.013703,-0.006849,0.009596,-0.042274,0.05187,0.056203,0.021574,0.034629,0.028558,-0.052478,0.081037
EQB.TO,2022-05-01,4,0,upgrade_medium,0.014326,0.013703,0.000623,-0.079171,-0.042274,-0.036897,0.092366,0.021574,0.070791,-0.032799,-0.052478,0.019679
CS.TO,2022-05-01,10,0,upgrade_large,0.001712,0.013703,-0.01199,-0.159247,-0.042274,-0.116973,-0.186644,0.021574,-0.208218,-0.541096,-0.052478,-0.488618
