symbol,event_date,upgrade_delta,downgrade_delta,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
FWONK,2019-07-01,9,-5,upgrade_large,-0.006927,0.002601,-0.009528,0.00194,0.005164,-0.003225,0.054586,0.005982,0.048604,0.113605,0.008396,0.105208
ALSN,2019-07-01,-2,2,downgrade_cluster,-0.009767,0.002601,-0.012367,-0.032873,0.005164,-0.038037,-0.016198,0.005982,-0.02218,0.010719,0.008396,0.002323
ZS,2019-07-01,3,1,upgrade_medium,0.030675,0.002601,0.028074,0.100509,0.005164,0.095345,0.099987,0.005982,0.094005,-0.383109,0.008396,-0.391506
EQT,2019-07-01,2,1,upgrade_small,-0.061621,0.002601,-0.064222,-0.025452,0.005164,-0.030616,-0.059612,0.005982,-0.065593,-0.336236,0.008396,-0.344632
HUYA,2019-07-01,8,0,upgrade_large,0.013158,0.002601,0.010557,-0.009399,0.005164,-0.014563,-0.115601,0.005982,-0.121583,-0.078008,0.008396,-0.086404
BAK,2019-07-01,2,0,upgrade_small,-0.006658,0.002601,-0.009258,0.082557,0.005164,0.077392,-0.027297,0.005982,-0.033279,-0.141145,0.008396,-0.149542
ERIC,2019-07-01,3,0,upgrade_medium,-0.001279,0.002601,-0.003879,-0.008951,0.005164,-0.014116,-0.085678,0.005982,-0.091659,-0.162404,0.008396,-0.170801
AAPL,2019-07-01,3,1,upgrade_medium,0.005796,0.002601,0.003195,-0.001656,0.005164,-0.00682,0.056924,0.005982,0.050942,0.115297,0.008396,0.106901
NXPI,2019-07-01,11,-1,upgrade_large,-0.018406,0.002601,-0.021006,-0.040027,0.005164,-0.045191,0.034815,0.005982,0.028834,0.095798,0.008396,0.087401
KMB,2019-07-01,2,3,upgrade_small,0.004761,0.002601,0.002161,0.010622,0.005164,0.005458,0.001648,0.005982,-0.004333,0.056497,0.008396,0.0481
VOYA,2019-07-01,3,0,upgrade_medium,-0.007549,0.002601,-0.010149,0.007549,0.005164,0.002384,0.00298,0.005982,-0.003002,-0.02503,0.008396,-0.033426
NXGN,2019-07-01,-6,3,downgrade_cluster,-0.018637,0.002601,-0.021237,-0.015694,0.005164,-0.020858,-0.197646,0.005982,-0.203627,-0.231486,0.008396,-0.239882
TEDU,2019-07-01,-11,6,downgrade_cluster,-0.014346,0.002601,-0.016947,-0.240506,0.005164,-0.245671,-0.329114,0.005982,-0.335095,-0.582278,0.008396,-0.590675
C,2019-07-01,3,0,upgrade_medium,-0.004105,0.002601,-0.006706,0.011601,0.005164,0.006437,0.006068,0.005982,8.7e-05,-0.016063,0.008396,-0.024459
NIO,2019-10-01,-6,6,downgrade_cluster,0.204545,-0.017674,0.222219,0.287879,-0.016071,0.303949,0.083333,0.037175,0.046158,2.045455,0.102987,1.942468
MGP,2019-10-01,3,0,upgrade_medium,0.020925,-0.017674,0.038599,0.019575,-0.016071,0.035645,0.056024,0.037175,0.018849,0.045224,0.102987,-0.057762
SCHW,2019-10-01,-4,2,downgrade_cluster,-0.032948,-0.017674,-0.015274,-0.066763,-0.016071,-0.050692,0.093931,0.037175,0.056756,0.26474,0.102987,0.161753
X,2019-10-01,-9,7,downgrade_cluster,-0.082537,-0.017674,-0.064863,-0.075586,-0.016071,-0.059516,0.00695,0.037175,-0.030225,-0.039965,0.102987,-0.142952
PAGS,2019-10-01,9,0,upgrade_large,-0.054915,-0.017674,-0.037241,-0.041356,-0.016071,-0.025285,-0.177853,0.037175,-0.215028,-0.260339,0.102987,-0.363326
IHRT,2019-10-01,2,0,upgrade_small,0.021362,-0.017674,0.039036,-0.029372,-0.016071,-0.013302,-0.046729,0.037175,-0.083904,0.128171,0.102987,0.025184
CRWD,2019-10-01,0,2,downgrade_cluster,-0.021765,-0.017674,-0.004091,0.128001,-0.016071,0.144072,-0.111332,0.037175,-0.148507,-0.138539,0.102987,-0.241525
TW,2019-12-01,2,0,upgrade_small,0.012079,-0.006701,0.01878,0.026016,0.007192,0.018824,0.05784,0.047576,0.010264,0.172358,0.008841,0.163516
BBAR,2019-12-01,6,-3,upgrade_large,0.0,-0.006701,0.006701,0.137037,0.007192,0.129845,0.488889,0.047576,0.441313,0.203704,0.008841,0.194862
PYPL,2019-12-01,4,0,upgrade_medium,-0.005757,-0.006701,0.000944,-0.022839,0.007192,-0.030031,0.042752,0.047576,-0.004824,0.085598,0.008841,0.076757
YETI,2019-12-01,2,0,upgrade_small,-0.057547,-0.006701,-0.050846,-0.031132,0.007192,-0.038325,0.097484,0.047576,0.049909,-0.04434,0.008841,-0.053181
ZG,2019-12-01,-1,3,downgrade_cluster,0.007812,-0.006701,0.014514,0.016885,0.007192,0.009693,0.134073,0.047576,0.086497,0.369708,0.008841,0.360866
APTV,2019-12-01,2,0,upgrade_small,-0.028254,-0.006701,-0.021553,-0.016296,0.007192,-0.023489,0.019153,0.047576,-0.028422,-0.118398,0.008841,-0.12724
HSIC,2019-12-01,-5,3,downgrade_cluster,-0.003474,-0.006701,0.003227,-0.00579,0.007192,-0.012983,-0.028373,0.047576,-0.075949,-0.107846,0.008841,-0.116687
SQ,2019-12-01,2,5,upgrade_small,0.002392,-0.006701,0.009094,0.002691,0.007192,-0.004501,-0.045604,0.047576,-0.09318,0.185108,0.008841,0.176266
REAL,2019-12-01,3,0,upgrade_medium,0.01875,-0.006701,0.025451,0.091875,0.007192,0.084682,0.116875,0.047576,0.069299,-0.160625,0.008841,-0.169466
GOOGL,2019-12-01,6,0,upgrade_large,0.004531,-0.006701,0.011233,0.042031,0.007192,0.034839,0.062031,0.047576,0.014456,0.072031,0.008841,0.06319
HMY,2019-12-01,3,-6,upgrade_medium,0.108696,-0.006701,0.115397,0.036232,0.007192,0.029039,0.246377,0.047576,0.198801,0.289855,0.008841,0.281014
QTWO,2019-12-01,3,1,upgrade_medium,-0.008982,-0.006701,-0.002281,-0.031856,0.007192,-0.039049,-0.008144,0.047576,-0.055719,-0.087425,0.008841,-0.096267
PBR,2019-12-01,2,-2,upgrade_small,-0.00431,-0.006701,0.002391,0.056034,0.007192,0.048842,0.105603,0.047576,0.058028,-0.163793,0.008841,-0.172635
BSIG,2019-12-01,2,0,upgrade_small,-0.031915,-0.006701,-0.025214,0.040426,0.007192,0.033233,0.023404,0.047576,-0.024171,-0.125532,0.008841,-0.134373
MFGP,2019-12-01,6,-3,upgrade_large,0.001406,-0.006701,0.008108,0.016174,0.007192,0.008982,0.038678,0.047576,-0.008898,-0.339662,0.008841,-0.348504
CHWY,2019-12-01,2,0,upgrade_small,0.020143,-0.006701,0.026844,0.014687,0.007192,0.007495,0.242971,0.047576,0.195395,0.172052,0.008841,0.163211
RDFN,2019-12-01,8,2,upgrade_large,0.020032,-0.006701,0.026733,0.094887,0.007192,0.087694,0.139958,0.047576,0.092382,0.56563,0.008841,0.556789
GOSS,2019-12-01,2,0,upgrade_small,0.020648,-0.006701,0.027349,0.02915,0.007192,0.021957,-0.376518,0.047576,-0.424094,-0.429555,0.008841,-0.438396
LYFT,2019-12-01,2,0,upgrade_small,0.002532,-0.006701,0.009233,-0.04157,0.007192,-0.048762,-0.080397,0.047576,-0.127972,-0.150243,0.008841,-0.159084
CRTO,2019-12-01,-8,3,downgrade_cluster,-0.011885,-0.006701,-0.005183,-0.015846,0.007192,-0.023039,-0.026033,0.047576,-0.073608,-0.335597,0.008841,-0.344439
HHR,2019-12-01,2,0,upgrade_small,0.003132,-0.006701,0.009833,0.102296,0.007192,0.095104,0.121086,0.047576,0.07351,0.215031,0.008841,0.20619
UBER,2019-12-01,2,0,upgrade_small,0.00138,-0.006701,0.008082,-0.044859,0.007192,-0.052051,0.069358,0.047576,0.021783,0.191511,0.008841,0.18267
AMED,2019-12-01,5,0,upgrade_large,0.013424,-0.006701,0.020126,0.023708,0.007192,0.016516,0.022969,0.047576,-0.024606,0.083503,0.008841,0.074661
LHCG,2019-12-01,3,0,upgrade_medium,0.010682,-0.006701,0.017384,0.029665,0.007192,0.022472,0.048647,0.047576,0.001072,0.013757,0.008841,0.004915
PTON,2019-12-01,2,0,upgrade_small,-0.091205,-0.006701,-0.084504,-0.056189,0.007192,-0.063381,-0.192725,0.047576,-0.240301,-0.260315,0.008841,-0.269156
GAU,2020-03-01,-4,4,downgrade_cluster,0.065862,-0.028654,0.094516,-0.011609,-0.112785,0.101176,-0.094713,-0.161222,0.06651,0.344828,-0.005667,0.350495
CLX,2020-03-01,0,3,downgrade_cluster,-0.024066,-0.028654,0.004588,0.016805,-0.112785,0.12959,0.007261,-0.161222,0.168484,0.193845,-0.005667,0.199513
FRO,2020-03-01,5,-5,upgrade_large,-0.050505,-0.028654,-0.021851,-0.076768,-0.112785,0.036017,0.226263,-0.161222,0.387485,0.177778,-0.005667,0.183445
CQP,2020-03-01,-8,7,downgrade_cluster,-0.024633,-0.028654,0.004021,-0.250648,-0.112785,-0.137863,-0.218237,-0.161222,-0.057015,0.029819,-0.005667,0.035486
CTAS,2020-03-01,3,0,upgrade_medium,-0.025889,-0.028654,0.002764,-0.102801,-0.112785,0.009984,-0.380318,-0.161222,-0.219096,-0.102347,-0.005667,-0.096679
CMA,2020-03-01,-9,9,downgrade_cluster,-0.073005,-0.028654,-0.044351,-0.345865,-0.112785,-0.23308,-0.456949,-0.161222,-0.295727,-0.304633,-0.005667,-0.298965
SPXC,2020-05-01,2,0,upgrade_small,-0.028666,0.002754,-0.03142,0.06312,0.03412,0.029,0.124035,0.089431,0.034604,0.157663,0.159737,-0.002074
CVNA,2020-05-01,2,2,upgrade_small,0.052763,0.002754,0.050009,0.316974,0.03412,0.282854,0.435789,0.089431,0.346358,1.038816,0.159737,0.879079
CVS,2020-05-01,3,0,upgrade_medium,0.004203,0.002754,0.001449,0.057246,0.03412,0.023126,0.119496,0.089431,0.030064,0.06245,0.159737,-0.097287
CVU,2020-05-01,-6,5,downgrade_cluster,0.024316,0.002754,0.021562,-0.075988,0.03412,-0.110108,-0.142857,0.089431,-0.232288,-0.006079,0.159737,-0.165816
DE,2020-05-01,3,0,upgrade_medium,-0.037994,0.002754,-0.040748,-0.008642,0.03412,-0.042762,0.106742,0.089431,0.017311,0.282389,0.159737,0.122652
DEI,2020-05-01,4,-2,upgrade_medium,-0.02993,0.002754,-0.032684,0.003081,0.03412,-0.031039,0.044014,0.089431,-0.045417,-0.00044,0.159737,-0.160177
HIG,2020-05-01,2,0,upgrade_small,-0.00827,0.002754,-0.011024,0.018448,0.03412,-0.015672,0.141539,0.089431,0.052108,0.195611,0.159737,0.035874
HURN,2020-05-01,3,0,upgrade_medium,-0.069193,0.002754,-0.071947,-0.039174,0.03412,-0.073294,-0.052161,0.089431,-0.141592,0.015968,0.159737,-0.143769
INGR,2020-05-01,6,-4,upgrade_large,-0.012884,0.002754,-0.015638,0.053441,0.03412,0.019321,0.064568,0.089431,-0.024863,0.091947,0.159737,-0.06779
JKS,2020-05-01,2,1,upgrade_small,0.037247,0.002754,0.034493,0.068826,0.03412,0.034706,0.052632,0.089431,-0.0368,0.293117,0.159737,0.133381
OCFC,2020-05-01,2,0,upgrade_small,0.017685,0.002754,0.014931,0.008842,0.03412,-0.025278,0.065916,0.089431,-0.023515,-0.014469,0.159737,-0.174206
PBF,2020-05-01,-3,2,downgrade_cluster,0.128146,0.002754,0.125392,0.106407,0.03412,0.072287,0.19222,0.089431,0.102788,-0.097254,0.159737,-0.256991
PMT,2020-05-01,2,0,upgrade_small,-0.03263,0.002754,-0.035384,0.023033,0.03412,-0.011087,0.180422,0.089431,0.090991,0.957774,0.159737,0.798037
PNR,2020-05-01,6,-6,upgrade_large,0.03124,0.002754,0.028486,0.049919,0.03412,0.015799,0.167472,0.089431,0.078041,0.287601,0.159737,0.127864
STX,2020-05-01,7,-5,upgrade_large,-0.026558,0.002754,-0.029312,0.070225,0.03412,0.036105,0.104443,0.089431,0.015012,-0.039837,0.159737,-0.199573
TFSL,2020-05-01,6,-3,upgrade_large,0.036957,0.002754,0.034202,0.067391,0.03412,0.033271,0.051087,0.089431,-0.038344,0.033696,0.159737,-0.126041
TNET,2020-05-01,7,-4,upgrade_large,0.014396,0.002754,0.011642,0.085518,0.03412,0.051398,0.167598,0.089431,0.078167,0.388483,0.159737,0.228746
TOUR,2020-05-01,-8,3,downgrade_cluster,-0.003708,0.002754,-0.006462,-0.00089,0.03412,-0.03501,0.19752,0.089431,0.108089,0.304845,0.159737,0.145108
TSLA,2020-05-01,-5,9,downgrade_cluster,0.085561,0.002754,0.082807,0.168556,0.03412,0.134436,0.257112,0.089431,0.167681,1.040214,0.159737,0.880477
T,2020-05-01,1,2,downgrade_cluster,-0.009753,0.002754,-0.012507,-0.003901,0.03412,-0.038021,0.036411,0.089431,-0.05302,0.012354,0.159737,-0.147383
UDR,2020-05-01,5,-1,upgrade_large,0.012303,0.002754,0.009549,0.062201,0.03412,0.028081,0.043404,0.089431,-0.046027,0.012645,0.159737,-0.147092
UNIT,2020-05-01,-12,5,downgrade_cluster,0.015723,0.002754,0.012969,0.113208,0.03412,0.079088,0.322851,0.089431,0.23342,0.48847,0.159737,0.328733
ACN,2020-05-01,2,0,upgrade_small,-0.003146,0.002754,-0.0059,0.047008,0.03412,0.012888,0.142598,0.089431,0.053167,0.252707,0.159737,0.092971
AGNC,2020-05-01,3,0,upgrade_medium,0.010033,0.002754,0.007279,0.035117,0.03412,0.000997,0.068562,0.089431,-0.020869,0.137124,0.159737,-0.022613
APPN,2020-05-01,-5,4,downgrade_cluster,0.049941,0.002754,0.047187,0.170414,0.03412,0.136294,0.385562,0.089431,0.296131,0.204024,0.159737,0.044287
AXL,2020-05-01,2,-1,upgrade_small,-0.054893,0.002754,-0.057647,0.422434,0.03412,0.388314,0.861575,0.089431,0.772144,0.684964,0.159737,0.525227
AXSM,2020-05-01,5,0,upgrade_large,0.017641,0.002754,0.014887,-0.023965,0.03412,-0.058085,-0.158993,0.089431,-0.248424,-0.208588,0.159737,-0.368324
TDS,2020-05-01,3,0,upgrade_medium,-0.04342,0.002754,-0.046174,0.04676,0.03412,0.01264,0.154977,0.089431,0.065545,0.081496,0.159737,-0.078241
BMY,2020-05-01,5,-1,upgrade_large,-0.001433,0.002754,-0.004187,0.013099,0.03412,-0.021021,0.006549,0.089431,-0.082882,-0.019034,0.159737,-0.178771
EDN,2020-05-01,-6,8,downgrade_cluster,0.010239,0.002754,0.007485,0.071672,0.03412,0.037552,0.307167,0.089431,0.217736,0.300341,0.159737,0.140604
